Date,Ticker,Status,Entry_Ref,RR_Ratio,Kelly_Pct,Close_Price,Trend_State,RSI,IV_Rank,Crowding_Index,Win_Prob_10d,Risk_Loss_10d,Target_Prob_10d,Target_Median_10d,Win_Prob_20d,Risk_Loss_20d,Target_Prob_20d,Target_Median_20d,Win_Prob_60d,Risk_Loss_60d,Target_Prob_60d,Target_Median_60d,ATR_14,Hard_Stop_Loss,Target_Aggressive,RR_Score,PE_Percentile,IV_Status,SPY_State,Alpha_vs_SPY,Corr_vs_SPY,Action
2026-05-26,NVDA,未持有,214.86,1:1.00,0.0,214.86,bull_core,53.3,78.3,0.0,24.1,24.6,31.5,218.68,19.1,36.0,43.9,223.04,14.8,49.0,65.3,241.5,7.49,203.63,226.09,4.0,44.0,expensive,bull_core,-0.06,0.67,持仓
2026-05-23,NVDA,未持有,215.33,1:1.00,0.0,215.33,bull_core,53.7,78.3,0.0,23.4,23.8,31.3,219.37,18.5,35.1,44.1,223.62,14.5,48.1,65.9,242.46,7.58,203.96,226.7,4.0,44.0,expensive,bull_core,-0.01,0.672,持仓
2026-05-21,NVDA,未持有,219.51,1:1.00,0.0,219.51,bull_core,57.8,78.3,0.0,24.5,24.3,32.0,223.98,19.6,35.8,45.0,227.98,15.4,48.1,66.4,247.89,7.69,207.97,231.05,4.0,50.0,expensive,bull_core,0.05,0.675,持仓
2026-05-20,NVDA,未持有,223.47,1:1.00,0.0,223.47,bull_core,61.9,76.1,0.0,23.9,24.9,31.8,227.62,19.1,36.0,44.5,232.09,14.7,49.3,65.2,250.38,7.56,212.13,234.81,4.0,0.0,expensive,bull_core,0.06,0.682,持仓
2026-05-27,ORCL,未持有,190.96,1:1.00,0.0,190.96,中期走强，但,57.9,25.0,0.0,17.1,41.6,27.7,191.07,12.5,56.3,34.5,191.03,7.7,72.8,44.7,195.97,8.18,178.69,203.23,4.0,50.0,cheap,bull_core,0.1,0.44,持仓
2026-05-26,ORCL,未持有,193.06,1:1.00,0.0,193.06,中期走强，但,60.1,27.8,0.0,17.7,39.7,27.8,193.03,12.5,54.0,35.3,195.0,7.8,71.8,46.6,200.55,8.41,180.44,205.68,4.0,50.0,cheap,bull_core,0.07,0.437,持仓
2026-05-23,ORCL,未持有,192.08,1:1.00,0.0,192.08,中期走强，但,59.5,70.0,0.0,17.2,37.3,27.1,192.29,12.6,52.6,34.8,193.19,8.1,70.1,46.1,199.51,8.7,179.03,205.13,4.0,50.0,expensive,bull_core,0.06,0.444,持仓
2026-05-21,ORCL,未持有,189.77,1:1.00,0.0,189.77,中期走强，但,57.9,70.6,0.0,16.7,36.9,26.2,189.41,12.0,52.2,33.1,189.91,7.2,70.7,43.7,193.75,8.81,176.56,202.98,4.0,44.0,expensive,bull_core,0.03,0.437,持仓
2026-05-20,ORCL,未持有,188.16,1:1.00,0.0,188.16,中期走强，但,56.8,81.7,5.0,17.5,35.9,25.4,187.84,12.4,52.1,33.3,188.19,7.3,69.6,44.3,194.25,9.06,174.57,201.75,4.0,47.0,expensive,bull_core,-0.04,0.437,持仓
2026-05-19,ORCL,未持有,181.46,1:1.00,0.0,181.46,中期走强，但,52.1,80.6,1.7,17.1,34.5,23.7,180.48,12.3,51.7,32.3,181.2,7.8,69.1,43.0,185.38,9.03,167.91,195.01,4.0,54.0,expensive,bull_core,-0.04,0.434,持仓
