Date,Open,High,Low,Close,Volume,IV,AnalystTargetPrice,AnalystRating
2025-01-13 05:00:00,232.04742383507852,233.180185891021,228.26161420500543,232.91189575195312,49630700,,310.507,buy
2025-01-14 05:00:00,233.25971079858908,234.62100862534365,230.99418638589503,231.79904174804688,39435300,,310.507,buy
2025-01-15 05:00:00,233.1504034772107,237.4429855317883,232.94172997653556,236.35989379882807,39832000,,310.507,buy
2025-01-16 05:00:00,235.8432019589194,236.4990004602556,226.58236221549976,226.81089782714844,71759100,,310.507,buy
2025-01-17 05:00:00,230.6463874145182,230.8153063545454,227.02949646555183,228.5199737548828,68488300,,310.507,buy
2025-01-21 05:00:00,222.57794445660952,222.99527628303537,217.9872792040061,221.22657775878903,98070400,,310.507,buy
2025-01-22 05:00:00,218.39465138442915,222.6971640978084,218.39465138442915,222.4090118408203,64126500,,310.507,buy
2025-01-23 05:00:00,223.3132271476291,225.5886822440662,220.8887152400013,222.24008178710935,60234800,,310.507,buy
2025-01-24 05:00:00,223.3529644564833,224.19757422629087,220.00436403066544,221.36566162109372,54697900,,310.507,buy
2025-01-27 05:00:00,222.59779053134585,230.6761660908309,222.55803598473327,228.4007110595703,94863400,,310.507,buy
2025-01-28 05:00:00,229.38447454034343,238.66517670855168,229.34471998625472,236.74742126464844,75707600,,310.507,buy
2025-01-29 05:00:00,232.6336544175663,238.33721875252743,232.524352160143,237.84039306640625,45486100,,310.507,buy
2025-01-30 05:00:00,237.1547951903121,239.26133146080372,235.7040725307193,236.08164978027344,55658300,,310.507,buy
2025-01-31 05:00:00,245.62070152543137,245.62070152543137,231.9579942451269,234.50173950195312,100959800,,310.507,buy
2025-02-03 05:00:00,228.52991033796465,230.35822543026035,224.2671369795404,226.56246948242188,73063300,,310.507,buy
2025-02-04 05:00:00,225.8072836268673,231.64995878770603,225.21108671424065,231.32205200195312,45067300,,310.507,buy
2025-02-05 05:00:00,227.0791817096477,231.19289841511937,226.820837771536,230.99417114257807,39620300,,310.507,buy
2025-02-06 05:00:00,229.8216550685821,232.31573010563136,228.96711414866223,231.73941040039065,29925300,,310.507,buy
2025-02-07 05:00:00,231.1233398047693,232.5144458089444,225.81722939017396,226.1848907470703,39707200,,310.507,buy
2025-02-10 05:00:00,228.3633824897372,229.378010419489,226.0058289386349,226.45346069335935,33115600,,310.507,buy
2025-02-11 05:00:00,227.000572314181,233.9936212519964,226.9309481287188,231.3973388671875,53718400,,310.507,buy
2025-02-12 05:00:00,229.98481838871237,235.71455375787428,229.4675472393098,235.62501525878903,45243300,,310.507,buy
2025-02-13 05:00:00,235.6648009555,241.06625350434595,234.33184765944375,240.2605133056641,53614100,,310.507,buy
2025-02-14 05:00:00,239.981993568851,244.25939586817944,239.7233655892969,243.31439208984372,40896200,,310.507,buy
2025-02-18 05:00:00,242.86673323889264,243.89131830963376,240.56887710589865,243.18505859375,48822500,,310.507,buy
