Date,Open,High,Low,Close,Volume,IV,AnalystTargetPrice,AnalystRating
2025-01-06 05:00:00,151.1685991490645,152.65524723362938,150.33049556320807,151.67745971679688,1359300,,311.0,none
2025-01-07 05:00:00,152.6552601562165,155.37910465303244,152.10649637221127,152.3858642578125,1613100,,311.0,none
2025-01-08 05:00:00,151.36817577782136,154.18181387525482,150.14093623561817,153.60311889648438,1121200,,311.0,none
2025-01-10 05:00:00,152.13642479193012,155.7582504761015,150.86929734256745,153.5332794189453,1266400,,311.0,none
2025-01-13 05:00:00,151.03891791042696,153.3536826073533,150.1808550395058,153.1641082763672,1102200,,311.0,none
2025-01-14 05:00:00,154.42126774377886,156.34691165088688,153.1640971034342,155.61856079101562,1266800,,311.0,none
2025-01-15 05:00:00,158.82133270667163,159.24039977173513,155.87798261018852,157.81361389160156,1587700,,311.0,none
2025-01-16 05:00:00,158.9909583012498,162.3533601376458,158.51202887678616,161.36558532714844,1648300,,311.0,none
2025-01-17 05:00:00,162.6327397611086,163.8799233482337,161.325693797707,162.532958984375,1620800,,311.0,none
2025-01-21 05:00:00,164.62821930807704,168.41966013096277,164.22912668436598,167.20240783691406,1449900,,311.0,none
2025-01-22 05:00:00,168.56928946186787,170.4151268102123,167.9806226062313,168.58924865722656,1500500,,311.0,none
2025-01-23 05:00:00,167.11260623543893,171.1634555462882,166.12483148635516,170.85415649414062,1276000,,311.0,none
2025-01-24 05:00:00,174.08684048495337,174.40612673764377,171.28317468529397,172.93943786621094,1592700,,311.0,none
2025-01-27 05:00:00,166.67362374235387,168.49950240781263,155.15961591797856,159.17056274414062,3052200,,311.0,none
2025-01-28 05:00:00,162.42318718789477,162.79236383902386,158.2226818843182,161.35560607910156,1369000,,311.0,none
2025-01-29 05:00:00,164.55836031934768,165.40645112676643,159.66940744850527,160.6172637939453,1361200,,311.0,none
2025-01-30 05:00:00,162.03407959081437,164.00962928174525,160.46762497968345,162.27354431152344,1207000,,311.0,none
