Date,Open,High,Low,Close,Volume,IV,AnalystTargetPrice,AnalystRating
2025-01-13 05:00:00,197.29811895981777,200.31878346622696,196.8356695543832,198.12461853027344,16612400,,467.84027,strong_buy
2025-01-14 05:00:00,201.8930931519439,202.945893021174,195.31058294180212,198.2131805419922,14182900,,467.84027,strong_buy
2025-01-15 05:00:00,199.2364874247292,205.68123296842967,196.14694012887284,203.47723388671875,18286500,,467.84027,strong_buy
2025-01-16 05:00:00,215.37295002410383,218.38378059241924,209.7448558193461,211.3388214111328,38539600,,467.84027,strong_buy
2025-01-17 05:00:00,211.71274541094945,212.21454556015965,207.66878240373225,208.10171508789065,21606100,,467.84027,strong_buy
2025-01-21 05:00:00,211.0141410311105,216.61270356132596,208.64286043462928,215.18600463867188,19061300,,467.84027,strong_buy
2025-01-22 05:00:00,218.38379299710843,221.8078735424708,215.7862120637961,219.61370849609372,17294500,,467.84027,strong_buy
2025-01-23 05:00:00,216.56354601062097,221.08962643463448,215.8846301936144,221.0109100341797,8986800,,467.84027,strong_buy
2025-01-24 05:00:00,222.5851736113727,222.76227422480807,217.4096949437871,218.31491088867188,13183800,,467.84027,strong_buy
2025-01-27 05:00:00,193.87404328027543,203.6740170851468,184.65460103106875,189.2200469970703,68667500,,467.84027,strong_buy
2025-01-28 05:00:00,192.5063747695035,199.580851374452,189.36764291545745,199.14791870117188,31738800,,467.84027,strong_buy
2025-01-29 05:00:00,201.20435349609076,203.13285270379427,196.5405082459527,199.0790557861328,15199500,,467.84027,strong_buy
2025-01-30 05:00:00,203.25092672545665,206.2519085884686,202.1193954369612,204.80552673339844,13539000,,467.84027,strong_buy
2025-01-31 05:00:00,206.55692569605387,211.5454702713137,204.85472681349756,205.9567413330078,15746900,,467.84027,strong_buy
2025-02-03 05:00:00,196.4224397061107,201.696318236192,194.7989421561984,196.58970642089844,17719800,,467.84027,strong_buy
2025-02-04 05:00:00,200.7911061930405,202.444105534734,198.83307517446065,200.77142333984372,12692900,,467.84027,strong_buy
2025-02-05 05:00:00,202.6900822044644,207.09809532237963,200.5549506158864,205.2187957763672,10997800,,467.84027,strong_buy
2025-02-06 05:00:00,206.6848346817964,207.78683415019,203.67400398163784,207.1177673339844,8491400,,467.84027,strong_buy
2025-02-07 05:00:00,209.58742943802403,209.7546961398561,202.4145690424429,202.80813598632807,11616200,,467.84027,strong_buy
2025-02-10 05:00:00,204.6579490147313,206.60613105634704,203.21156711627813,204.60874938964844,9296500,,467.84027,strong_buy
2025-02-11 05:00:00,201.83405092355983,206.4683639570766,197.770405450006,205.38604736328125,9224500,,467.84027,strong_buy
